"ostim_id","sexlab_id","description"
"futa_masturbation_S1","futa_masturbation_S1","{actor0} stands gazing lustfully at her own erect cock as she strokes it slowly, her nimble fingers wrapped tightly around its girthy shaft."
"futa_masturbation_S2","futa_masturbation_S2","{actor0} is low to the ground and propped up on one hand behind her back as she strokes her thick futanari cock with her other hand, thrusting her hips vigorously."
"futa_masturbation_S3","futa_masturbation_S3","Kneeling with her face to the ground and her ass in the air, {actor0} holds onto her rear with one hand and uses the other furiously work on her rock hard cock."
"futa_masturbation_S4","futa_masturbation_S4","Lying on her back, hips raised in the air, {actor0} is frantically pumping both of her hands along the shaft of her throbbing futanari cock as she gets closer to orgasm, desperate for release."
"futa_masturbation_S5","futa_masturbation_S5","{actor0} lies on her back, legs in the air and thighs held open to reveal her impressive cock. With a guttural moan, she unleashes thick ropes of cum that splatter across her breasts, collarbone, and face in spurts as she lets loose completely."
"futa1_S1","futa1_S1","{actor0} stands face-to-face with {actor1}, one hand gripping his shoulder while the other vigorously strokes his shaft. {actor1} likewise reaches down to pump and tug at her hard futanari cock."
"futa1_S2","futa1_S2","Facing up on all fours, {actor0}'s futanari cock twitches as she receives a fast-paced handjob from {actor1} who is kneeling between her legs."
"futa1_S3","futa1_S3","{actor0} is on all fours facing up with {actor1} kneeling between her legs as they engage in a heated session. His hand works feverishly over her throbbing cock while he thrusts vigorously into {actor0}'s soaked cunt."
"futa1_S4","futa1_S4","{actor0}, facing up while on all fours, head thrown back in ecstasy, is getting her wet cunt pounded by {actor1} who kneels in front of her. He strokes her shaft tightly in rhythm to their coupling, bringing them both close to climax."
"futa1_S5","futa1_S5","{actor1} holds up {actor0}'s legs as she lies on her back, one hand shielding her eyes as her futanari cock explodes in a sticky, messy orgasm all over her heaving chest. Reaching his climax at the same time, {actor1} pumps his dick deep into her cunt, flooding her insides with his hot seed."
"futa2_S1","futa2_S1","{actor0}, standing with one foot on her partner's thigh, gently strokes her throbbing cock while {actor1} kneels at her feet and eagerly plunges two fingers into her wet, twitching pussy."
"futa2_S2","futa2_S2","{actor0} straddles {actor1}'s waist, his stiff cock buried deep in her tight pussy as she slowly bounces on him. Her own sizable dick is fully erect, and she gives it long strokes at an increasing pace."
"futa2_S3","futa2_S3","{actor0} straddles {actor1} while he lies back propped up on one elbow, aggressively riding his cock as he grips her thick shaft and pumps it roughly with his fist."
"futa2_S4","futa2_S4","{actor0} lies on her back with her waist elevated while {actor1} stands over her, spreading his legs wide and gripping her thighs as he pounds into her with deep thrusts. {actor0} grips her own dick tightly in her hand, stroking it vigorously as waves of pleasure course through her body."
"futa2_S5","futa2_S5","Lying on her back, {actor0}'s legs are held high in the air by {actor1} as he stands over her, gripping her ankles. Her hard cock throbs and spurts jets of jizz over her heaving tits and flushed face, while {actor1} blows his load deep inside her quivering cunt."
"FemaleonFuta_S1","FemaleonFuta_S1","{actor0} sits leaning back on her hands, legs spread apart as {actor1} kneels beside her, holding onto {actor0}'s shoulder while stroking her throbbing futa cock up and down with one hand."
"FemaleonFuta_S2","FemaleonFuta_S2","Kneeling before {actor0}, {actor1} squeezes her breasts together, their soft flesh enveloping {actor0}'s throbbing erection as {actor1} begins to titty-fuck her with slow, sensuous strokes. Their eyes lock intensely as they share an erotic moment of connection and arousal."
"FemaleonFuta_S3","FemaleonFuta_S3","{actor0} stands over {actor1}, who sits beneath her staring hungrily at her swinging ballsack as {actor0} strokes her throbbing cock."
"FemaleonFuta_S4","FemaleonFuta_S4","Standing and holding her partner's head, {actor0} moans in ecstasy as {actor1} kneels behind her and laps at her asshole with lustful fervor. At the same time, {actor1} jerks off {actor0}'s throbbing futanari cock to the edge of orgasm, fingers tightening as she approaches her limit."
"FemaleonFuta_S5","FemaleonFuta_S5","{actor0} kneels with one hand on the floor and the other grasping her ass, while {actor1} kneels behind her, vigorously pumping {actor0}'s throbbing cock as it twitches on the verge of exploding. At the same time, {actor1} finger-fucks {actor0}'s warm, tight asshole."
"FemaleonFuta_S6","FemaleonFuta_S6","Kneeling doggy-style, {actor0}'s cock pulses and throbs, sending ropes of thick semen spurting onto the floor below her as she orgasms intensely, while behind her {actor1} eagerly laps at {actor0}'s twitching, gaping asshole."
"FuOnFu2_S1","FuOnFu2_S1","{actor0} kneels before her partner with one hand to her face, shocked by the huge erection jutting proudly from between {actor1}'s legs as she shows off her futanari cock."
"FuOnFu2_S2","FuOnFu2_S2","{actor0}, kneeling and gazing up at {actor1}, tenderly strokes her futanari cock while {actor1} gently caresses her head, both engrossed in pleasuring each other."
"FuOnFu2_S3","FuOnFu2_S3","{actor0}, kneeling and gazing up to kiss her lover, grips {actor1}'s shaft, stroking it faster as their tongues dance in a passionate embrace. {actor1} leans down, lips locked with {actor0}, her thick cock pulsing in her partner's skilled hand."
"FuOnFu2_S4","FuOnFu2_S4","Kneeling before her futanari lover, {actor0} eagerly engulfs {actor1}'s girthy cock, bobbing her head enthusiastically as she takes it balls-deep into her throat, while {actor1} grips her hair and pumps away, both of them moaning in unison."
"FuOnFu2_S5","FuOnFu2_S5","{actor1} stands behind {actor0}, arms behind her back as she thrusts deep into {actor0}'s dripping pussy from behind, grunting in pleasure as her fat futanari dick slams balls-deep."
"FuOnFu2_S6","FuOnFu2_S6","{actor0} lies on her back, her legs wide apart, arching her hips to raise her dripping cunt towards {actor1}. The futanari stands over her, thrusting her cock deep enough to kiss {actor0}'s cervix, twitching as she nears her climax."
"FuOnFu2_S7","FuOnFu2_S7","Lying on her back, ass high in the air, {actor0} lets out a passionate moan as {actor1}, towering over her, drives her thick futa-cock deep into {actor0}'s eager pussy and shoots out a copious amount of hot semen. This pushes {actor0} over the edge, and she explodes in an intense orgasm, quivering as she is filled up to overflowing."
"FonF_S1","FonF_S1","{actor0} and {actor1} stand facing each other with one hand holding their partner as they grind together, the tips of their penises rubbing against each other in a sensual motion."
"FonF_S2","FonF_S2","{actor0} is on top, straddling {actor1}'s face as they both partake in a hot and heavy sixty-nine position. {actor0} grips {actor1}'s hand tightly while using her other hand to furiously pump up and down on {actor1}'s thick shaft."
"FonF_S3","FonF_S3","{actor1}, on her back with legs spread wide and head tilted up, is engrossed in slobbering over the throbbing she-cock between {actor0}'s legs as it thrusts into her eager mouth. Meanwhile, {actor0} is bobbing her head up and down on {actor1}'s thick shaft in a sloppy sixty-nine session."
"FonF_S4","FonF_S4","{actor0} kneels over {actor1}, who is on her back with legs in the air, as she thrusts into {actor1}'s pussy while simultaneously stroking her dick with both hands."
